occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,phylum,class,order,family,genus,taxon_environment,environment_basis,motility,life_habit,vision,diet,reproduction,ontogeny,lng,lat,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,formation,stratgroup,member,stratscale,zone,localsection,localbed,localorder,regionalsection,regionalbed,regionalorder,stratcomments
776432,occ,,,83300,Podocopida informal indet. 1,species,23837,species not entered,Podocopida,order,23837,Late Maastrichtian,,70.6,66,27966,Arthropoda,Ostracoda,Podocopida,,,"hypersaline,marine,brackish,freshwater",,actively mobile,epifaunal,limited,"detritivore, grazer",,,-47.450279,-19.633333,BR,Minas Gerais,,stated in text,seconds,outcrop,"Quarry Partezan (= Pedreira Partezan, L35), BR-050, near Uberaba",MarÌ_lia,Bauru,Serra da Galga/Ponte Alta,group of beds,,,,,,,,
776440,occ,,,83301,Virgatocypris n. sp. mezzalirai,species,131365,,Virgatocypris mezzalirai,species,131365,Late Maastrichtian,,70.6,66,27966,Arthropoda,Ostracoda,Podocopida,Cyprididae,Virgatocypris,freshwater,,actively mobile,epifaunal,limited,"detritivore, grazer",,,-47.228058,-19.628332,BR,Minas Gerais,,stated in text,seconds,outcrop,"Quarry TriÌ¢ngulo (= Pedreira TriÌ¢ngulo, L36), near Uberaba, km 50 along BR-050 from Uberaba to UberlÌ¢ndia",MarÌ_lia,Bauru,Serra da Galga/Ponte Alta,group of beds,,,,,,,,
776441,occ,,,83301,Altanicypris n. sp. australis,species,131367,,Altanicypris australis,species,131367,Late Maastrichtian,,70.6,66,27966,Arthropoda,Ostracoda,Podocopida,Cyprididae,Altanicypris,freshwater,,actively mobile,epifaunal,limited,"detritivore, grazer",,,-47.228058,-19.628332,BR,Minas Gerais,,stated in text,seconds,outcrop,"Quarry TriÌ¢ngulo (= Pedreira TriÌ¢ngulo, L36), near Uberaba, km 50 along BR-050 from Uberaba to UberlÌ¢ndia",MarÌ_lia,Bauru,Serra da Galga/Ponte Alta,group of beds,,,,,,,,
776442,occ,,,83301,cf. Lycopterocypris angulata,species,24253,species not entered,Lycopterocypris,genus,24253,Late Maastrichtian,,70.6,66,27966,Arthropoda,Ostracoda,Podocopida,,Lycopterocypris,"hypersaline,marine,brackish,freshwater",,actively mobile,epifaunal,limited,"detritivore, grazer",,,-47.228058,-19.628332,BR,Minas Gerais,,stated in text,seconds,outcrop,"Quarry TriÌ¢ngulo (= Pedreira TriÌ¢ngulo, L36), near Uberaba, km 50 along BR-050 from Uberaba to UberlÌ¢ndia",MarÌ_lia,Bauru,Serra da Galga/Ponte Alta,group of beds,,,,,,,,
776443,occ,,,83301,Podocopida informal indet. 2,species,23837,species not entered,Podocopida,order,23837,Late Maastrichtian,,70.6,66,27966,Arthropoda,Ostracoda,Podocopida,,,"hypersaline,marine,brackish,freshwater",,actively mobile,epifaunal,limited,"detritivore, grazer",,,-47.228058,-19.628332,BR,Minas Gerais,,stated in text,seconds,outcrop,"Quarry TriÌ¢ngulo (= Pedreira TriÌ¢ngulo, L36), near Uberaba, km 50 along BR-050 from Uberaba to UberlÌ¢ndia",MarÌ_lia,Bauru,Serra da Galga/Ponte Alta,group of beds,,,,,,,,
844729,occ,,,93947,Cytherella n. sp. araucana,species,24713,species not entered,Cytherella,genus,24713,Early Maastrichtian,,70.6,66,31936,Arthropoda,Ostracoda,Platycopida,Cytherellidae,Cytherella,"hypersaline,marine,brackish,freshwater",,actively mobile,epifaunal,blind,"detritivore, suspension feeder",,,-68.666664,-38.166668,AR,NeuquÌ©n,,stated in text,minutes,small collection,"""about 5 km. north of FortÌ_n General Roca""",JagÌ_el,,,bed,,,,,,,,"""Lower JagÌ_elian Substage (lower Maastrichtian?)"""
844730,occ,,,93947,Alatacythere ? rocana,species,23867,species not entered,Alatacythere,genus,23867,Early Maastrichtian,,70.6,66,31936,Arthropoda,Ostracoda,Podocopida,,Alatacythere,"hypersaline,marine,brackish,freshwater",,actively mobile,epifaunal,limited,"detritivore, grazer",,,-68.666664,-38.166668,AR,NeuquÌ©n,,stated in text,minutes,small collection,"""about 5 km. north of FortÌ_n General Roca""",JagÌ_el,,,bed,,,,,,,,"""Lower JagÌ_elian Substage (lower Maastrichtian?)"""
844731,occ,,,93947,Jonesia ? sp.,genus,24191,,Jonesia,genus,24191,Early Maastrichtian,,70.6,66,31936,Arthropoda,Ostracoda,Podocopida,Pseudocytheridae,Jonesia,"hypersaline,marine,brackish,freshwater",,actively mobile,epifaunal,limited,"detritivore, grazer",,,-68.666664,-38.166668,AR,NeuquÌ©n,,stated in text,minutes,small collection,"""about 5 km. north of FortÌ_n General Roca""",JagÌ_el,,,bed,,,,,,,,"""Lower JagÌ_elian Substage (lower Maastrichtian?)"""
844732,occ,,,93947,Trachyleberis princeps,species,24657,species not entered,Trachyleberis,genus,24657,Early Maastrichtian,,70.6,66,31936,Arthropoda,Ostracoda,Podocopida,,Trachyleberis,"hypersaline,marine,brackish,freshwater",,actively mobile,epifaunal,limited,"detritivore, grazer",,,-68.666664,-38.166668,AR,NeuquÌ©n,,stated in text,minutes,small collection,"""about 5 km. north of FortÌ_n General Roca""",JagÌ_el,,,bed,,,,,,,,"""Lower JagÌ_elian Substage (lower Maastrichtian?)"""
844733,occ,,,93947,Platycythereis ? n. sp. velata,species,24450,species not entered,Platycythereis,genus,24450,Early Maastrichtian,,70.6,66,31936,Arthropoda,Ostracoda,Podocopida,,Platycythereis,"hypersaline,marine,brackish,freshwater",,actively mobile,epifaunal,limited,"detritivore, grazer",,,-68.666664,-38.166668,AR,NeuquÌ©n,,stated in text,minutes,small collection,"""about 5 km. north of FortÌ_n General Roca""",JagÌ_el,,,bed,,,,,,,,"""Lower JagÌ_elian Substage (lower Maastrichtian?)"""
844734,occ,,,93947,Wichmannella araucana,species,24699,species not entered,Wichmannella,genus,24699,Early Maastrichtian,,70.6,66,31936,Arthropoda,Ostracoda,Podocopida,,Wichmannella,"hypersaline,marine,brackish,freshwater",,actively mobile,epifaunal,limited,"detritivore, grazer",,,-68.666664,-38.166668,AR,NeuquÌ©n,,stated in text,minutes,small collection,"""about 5 km. north of FortÌ_n General Roca""",JagÌ_el,,,bed,,,,,,,,"""Lower JagÌ_elian Substage (lower Maastrichtian?)"""
844735,occ,,,93947,Wichmannella n. sp. cretacea,species,24699,species not entered,Wichmannella,genus,24699,Early Maastrichtian,,70.6,66,31936,Arthropoda,Ostracoda,Podocopida,,Wichmannella,"hypersaline,marine,brackish,freshwater",,actively mobile,epifaunal,limited,"detritivore, grazer",,,-68.666664,-38.166668,AR,NeuquÌ©n,,stated in text,minutes,small collection,"""about 5 km. north of FortÌ_n General Roca""",JagÌ_el,,,bed,,,,,,,,"""Lower JagÌ_elian Substage (lower Maastrichtian?)"""
844736,occ,,,93947,Cytherura n. sp. argentinensis,species,24032,species not entered,Cytherura,genus,24032,Early Maastrichtian,,70.6,66,31936,Arthropoda,Ostracoda,Podocopida,,Cytherura,"hypersaline,marine,brackish,freshwater",,actively mobile,epifaunal,limited,"detritivore, grazer",,,-68.666664,-38.166668,AR,NeuquÌ©n,,stated in text,minutes,small collection,"""about 5 km. north of FortÌ_n General Roca""",JagÌ_el,,,bed,,,,,,,,"""Lower JagÌ_elian Substage (lower Maastrichtian?)"""
844737,occ,,,93947,Cytherura ? n. sp. jaguelensis,species,24032,species not entered,Cytherura,genus,24032,Early Maastrichtian,,70.6,66,31936,Arthropoda,Ostracoda,Podocopida,,Cytherura,"hypersaline,marine,brackish,freshwater",,actively mobile,epifaunal,limited,"detritivore, grazer",,,-68.666664,-38.166668,AR,NeuquÌ©n,,stated in text,minutes,small collection,"""about 5 km. north of FortÌ_n General Roca""",JagÌ_el,,,bed,,,,,,,,"""Lower JagÌ_elian Substage (lower Maastrichtian?)"""
844738,occ,,,93947,Cytherura ? sp.,genus,24032,,Cytherura,genus,24032,Early Maastrichtian,,70.6,66,31936,Arthropoda,Ostracoda,Podocopida,,Cytherura,"hypersaline,marine,brackish,freshwater",,actively mobile,epifaunal,limited,"detritivore, grazer",,,-68.666664,-38.166668,AR,NeuquÌ©n,,stated in text,minutes,small collection,"""about 5 km. north of FortÌ_n General Roca""",JagÌ_el,,,bed,,,,,,,,"""Lower JagÌ_elian Substage (lower Maastrichtian?)"""
844739,occ,,,93947,Paracytheridea n. sp. rionegrina,species,24393,species not entered,Paracytheridea,genus,24393,Early Maastrichtian,,70.6,66,31936,Arthropoda,Ostracoda,Podocopida,Paracytherideidae,Paracytheridea,"hypersaline,marine,brackish,freshwater",,actively mobile,epifaunal,limited,"detritivore, grazer",,,-68.666664,-38.166668,AR,NeuquÌ©n,,stated in text,minutes,small collection,"""about 5 km. north of FortÌ_n General Roca""",JagÌ_el,,,bed,,,,,,,,"""Lower JagÌ_elian Substage (lower Maastrichtian?)"""
